sale_id,date,day_of_week,product_name,category,size,color,quantity_sold,price (Rs.),discount (%),total_amount (Rs.),payment_method,customer_gender,age_group,store_section,invoice_id,transaction_time,sku_id
S000049,2026-08-01,Saturday,Formal Shirt,Tops,M,White,1,999.00,0,999.00,Card,Male,Adult (31-45),Men,INV000026,15:15:00,P05-M-WHITE
S000050,2026-08-01,Saturday,Polo T-Shirt,Tops,M,Navy,1,699.00,0,699.00,Card,Male,Adult (31-45),Men,INV000026,15:15:00,P02-M-NAVY
S000051,2026-08-01,Saturday,Cotton Kurti,Ethnic Wear,L,Teal,1,999.00,0,999.00,Card,Male,Adult (31-45),Women,INV000026,15:15:00,P07-L-TEAL
S000052,2026-08-01,Saturday,Graphic Tee,Tops,L,Black,1,499.00,0,499.00,Cash,Female,Young Adult (20-30),Men,INV000027,17:26:00,P06-L-BLACK
S000053,2026-08-01,Saturday,Chino Trousers,Bottoms,30,Beige,1,1099.00,0,1099.00,Cash,Female,Young Adult (20-30),Men,INV000027,17:26:00,P04-30-BEIGE
S000054,2026-08-01,Saturday,Flip Flops,Footwear,7,Navy,3,399.00,0,1197.00,Cash,Female,Young Adult (20-30),Men,INV000027,17:26:00,P23-7-NAVY
S000055,2026-08-01,Saturday,Handbag,Accessories,OneSize,Black,1,999.00,0,999.00,Cash,Female,Young Adult (20-30),Accessories,INV000027,17:26:00,P24-ONESIZE-BLACK
S000056,2026-08-01,Saturday,Denim Jeggings,Bottoms,L,Indigo,2,999.00,0,1998.00,Cash,Female,Young Adult (20-30),Women,INV000027,17:26:00,P10-L-INDIGO
S000057,2026-08-01,Saturday,Kids Joggers,Bottoms,8-9Y,Black,1,699.00,0,699.00,Cash,Female,Young Adult (20-30),Kids,INV000028,13:28:00,P19-89Y-BLACK
S000058,2026-08-01,Saturday,Kids Joggers,Bottoms,6-7Y,Navy,1,699.00,0,699.00,Cash,Female,Young Adult (20-30),Kids,INV000028,13:28:00,P19-67Y-NAVY
S000059,2026-08-01,Saturday,Straight Pants,Bottoms,M,Beige,1,799.00,0,799.00,Card,Female,Young Adult (20-30),Women,INV000029,14:21:00,P09-M-BEIGE
S000060,2026-08-01,Saturday,Kids Sports Shoes,Footwear,13C,Black,1,899.00,0,899.00,UPI,Male,Teen (13-19),Kids,INV000030,19:51:00,P22-13C-BLACK
S000061,2026-08-01,Saturday,Kids Denim Shorts,Bottoms,4-5Y,Black,1,599.00,0,599.00,UPI,Male,Teen (13-19),Kids,INV000030,19:51:00,P16-45Y-BLACK
S000062,2026-08-01,Saturday,Ethnic Dupatta,Accessories,OneSize,Green,1,599.00,0,599.00,UPI,Male,Teen (13-19),Women,INV000030,19:51:00,P31-ONESIZE-GREEN
S000063,2026-08-01,Saturday,Printed Top,Tops,XL,Blue,1,699.00,0,699.00,UPI,Female,Young Adult (20-30),Women,INV000031,12:49:00,P12-XL-BLUE
S000064,2026-08-01,Saturday,Kids Cartoon Tee,Tops,2-3Y,Red,1,399.00,0,399.00,UPI,Female,Young Adult (20-30),Kids,INV000031,12:49:00,P15-23Y-RED
S000065,2026-08-01,Saturday,Wallet,Accessories,OneSize,Black,2,499.00,0,998.00,Cash,Female,Young Adult (20-30),Accessories,INV000032,20:10:00,P27-ONESIZE-BLACK
S000066,2026-08-01,Saturday,Straight Pants,Bottoms,L,Black,1,799.00,0,799.00,Cash,Female,Young Adult (20-30),Women,INV000032,20:10:00,P09-L-BLACK
S000067,2026-08-01,Saturday,Women Flats,Footwear,8,Silver,1,799.00,0,799.00,UPI,Female,Adult (31-45),Women,INV000033,21:08:00,P32-8-SILVER
S000068,2026-08-01,Saturday,Women Flats,Footwear,6,Silver,2,799.00,0,1598.00,UPI,Female,Adult (31-45),Women,INV000033,21:08:00,P32-6-SILVER
S000069,2026-08-01,Saturday,Printed Top,Tops,XL,White,1,699.00,0,699.00,Cash,Female,Young Adult (20-30),Women,INV000034,18:58:00,P12-XL-WHITE
S000070,2026-08-01,Saturday,Denim Jeggings,Bottoms,S,Indigo,1,999.00,0,999.00,Cash,Female,Young Adult (20-30),Women,INV000034,18:58:00,P10-S-INDIGO
S000071,2026-08-01,Saturday,Belt,Accessories,38,Black,1,399.00,0,399.00,Cash,Female,Young Adult (20-30),Accessories,INV000034,18:58:00,P26-38-BLACK
S000072,2026-08-01,Saturday,Belt,Accessories,36,Black,1,399.00,0,399.00,Card,Male,Adult (31-45),Accessories,INV000035,13:47:00,P26-36-BLACK
S000073,2026-08-01,Saturday,Women Flats,Footwear,4,Black,1,799.00,0,799.00,Card,Male,Adult (31-45),Women,INV000035,13:47:00,P32-4-BLACK
S000074,2026-08-01,Saturday,Straight Pants,Bottoms,M,Beige,2,799.00,0,1598.00,UPI,Male,Teen (13-19),Women,INV000036,19:33:00,P09-M-BEIGE
S000075,2026-08-01,Saturday,Basic Crew T-Shirt,Tops,L,Black,1,399.00,0,399.00,UPI,Male,Teen (13-19),Men,INV000036,19:33:00,P01-L-BLACK
S000076,2026-08-01,Saturday,Kids Denim Shorts,Bottoms,6-7Y,Blue,1,599.00,0,599.00,UPI,Male,Teen (13-19),Kids,INV000036,19:33:00,P16-67Y-BLUE
S000077,2026-08-01,Saturday,Women Flats,Footwear,4,Beige,2,799.00,0,1598.00,UPI,Male,Teen (13-19),Women,INV000036,19:33:00,P32-4-BEIGE
S000078,2026-08-01,Saturday,Flip Flops,Footwear,7,Navy,1,399.00,0,399.00,UPI,Male,Teen (13-19),Men,INV000036,19:33:00,P23-7-NAVY
S000079,2026-08-01,Saturday,Floral Kurti,Ethnic Wear,M,Green,1,1199.00,0,1199.00,UPI,Male,Young Adult (20-30),Women,INV000037,12:36:00,P08-M-GREEN
S000080,2026-08-01,Saturday,Basic Crew T-Shirt,Tops,M,Black,1,399.00,0,399.00,UPI,Male,Young Adult (20-30),Men,INV000037,12:36:00,P01-M-BLACK
S000081,2026-08-01,Saturday,Formal Shirt,Tops,L,White,1,999.00,0,999.00,Card,Male,Adult (31-45),Men,INV000038,16:31:00,P05-L-WHITE
S000082,2026-08-01,Saturday,Women Flats,Footwear,5,Silver,1,799.00,0,799.00,UPI,Female,Young Adult (20-30),Women,INV000039,20:07:00,P32-5-SILVER
S000083,2026-08-01,Saturday,Kids Lehenga Set,Ethnic Wear,6-7Y,Mint,1,1299.00,0,1299.00,Card,Male,Young Adult (20-30),Kids,INV000040,16:06:00,P18-67Y-MINT
S000084,2026-08-01,Saturday,Flip Flops,Footwear,8,Grey,1,399.00,0,399.00,Card,Male,Young Adult (20-30),Men,INV000041,13:47:00,P23-8-GREY
S000085,2026-08-01,Saturday,Printed Top,Tops,L,Blue,1,699.00,0,699.00,Card,Male,Young Adult (20-30),Women,INV000041,13:47:00,P12-L-BLUE
S000086,2026-08-01,Saturday,Sneakers,Footwear,9,Grey,1,1499.00,0,1499.00,Card,Male,Young Adult (20-30),Men,INV000041,13:47:00,P20-9-GREY
S000087,2026-08-01,Saturday,Cotton Kurti,Ethnic Wear,L,Mustard,2,999.00,0,1998.00,UPI,Male,Young Adult (20-30),Women,INV000042,12:49:00,P07-L-MUSTARD
S000088,2026-08-01,Saturday,Formal Shirt,Tops,L,White,1,999.00,0,999.00,UPI,Male,Young Adult (20-30),Men,INV000042,12:49:00,P05-L-WHITE
S000089,2026-08-01,Saturday,Printed Top,Tops,M,Red,1,699.00,0,699.00,UPI,Male,Young Adult (20-30),Women,INV000042,12:49:00,P12-M-RED
S000090,2026-08-01,Saturday,Cotton Kurti,Ethnic Wear,S,Mustard,1,999.00,0,999.00,UPI,Male,Teen (13-19),Women,INV000043,10:44:00,P07-S-MUSTARD
S000091,2026-08-01,Saturday,Slim Fit Jeans,Bottoms,30,Black,1,1299.00,0,1299.00,UPI,Male,Teen (13-19),Men,INV000043,10:44:00,P03-30-BLACK
S000092,2026-08-01,Saturday,Sandals,Footwear,6,Tan,1,999.00,0,999.00,Cash,Male,Young Adult (20-30),Women,INV000044,21:08:00,P21-6-TAN
S000093,2026-08-01,Saturday,Palazzo Kurta Set,Ethnic Wear,L,Teal,1,1399.00,0,1399.00,Cash,Male,Young Adult (20-30),Women,INV000044,21:08:00,P14-L-TEAL
S000094,2026-08-01,Saturday,Straight Pants,Bottoms,S,Navy,1,799.00,0,799.00,Cash,Male,Teen (13-19),Women,INV000045,11:47:00,P09-S-NAVY
S000095,2026-08-01,Saturday,Kids Joggers,Bottoms,2-3Y,Navy,1,699.00,0,699.00,UPI,Female,Adult (31-45),Kids,INV000046,15:57:00,P19-23Y-NAVY
S000096,2026-08-01,Saturday,Denim Jeggings,Bottoms,L,Indigo,1,999.00,0,999.00,UPI,Female,Adult (31-45),Women,INV000046,15:57:00,P10-L-INDIGO
S000097,2026-08-01,Saturday,Crop Top,Tops,M,Black,1,599.00,0,599.00,Cash,Female,Adult (31-45),Women,INV000047,21:25:00,P11-M-BLACK
S000098,2026-08-01,Saturday,Kids Sports Shoes,Footwear,13C,Blue,1,899.00,0,899.00,UPI,Other,Adult (31-45),Kids,INV000048,16:19:00,P22-13C-BLUE
S000099,2026-08-01,Saturday,Sandals,Footwear,4,Black,1,999.00,0,999.00,UPI,Male,Adult (31-45),Women,INV000049,15:58:00,P21-4-BLACK
S000100,2026-08-01,Saturday,Kids Sports Shoes,Footwear,1Y,Black,1,899.00,0,899.00,UPI,Male,Adult (31-45),Kids,INV000049,15:58:00,P22-1Y-BLACK
S000101,2026-08-01,Saturday,Graphic Tee,Tops,XL,Black,1,499.00,0,499.00,UPI,Male,Adult (31-45),Men,INV000049,15:58:00,P06-XL-BLACK
S000102,2026-08-01,Saturday,Women Flats,Footwear,8,Beige,1,799.00,0,799.00,UPI,Male,Adult (31-45),Women,INV000049,15:58:00,P32-8-BEIGE
S000103,2026-08-01,Saturday,Printed Top,Tops,XL,Red,1,699.00,0,699.00,UPI,Female,Young Adult (20-30),Women,INV000050,17:31:00,P12-XL-RED
S000104,2026-08-01,Saturday,Denim Jeggings,Bottoms,M,Indigo,1,999.00,0,999.00,Card,Female,Young Adult (20-30),Women,INV000051,13:50:00,P10-M-INDIGO
S000105,2026-08-01,Saturday,Kids Cartoon Tee,Tops,4-5Y,Blue,2,399.00,0,798.00,Card,Female,Young Adult (20-30),Kids,INV000051,13:50:00,P15-45Y-BLUE
S000106,2026-08-01,Saturday,Polo T-Shirt,Tops,S,Navy,1,699.00,0,699.00,Card,Female,Young Adult (20-30),Men,INV000051,13:50:00,P02-S-NAVY
S000107,2026-08-01,Saturday,Sling Bag,Accessories,OneSize,Black,1,699.00,0,699.00,Card,Female,Adult (31-45),Accessories,INV000052,13:43:00,P25-ONESIZE-BLACK
S000108,2026-08-01,Saturday,Denim Jeggings,Bottoms,L,Black,1,999.00,0,999.00,UPI,Female,Adult (31-45),Women,INV000053,18:57:00,P10-L-BLACK
S000109,2026-08-01,Saturday,Graphic Tee,Tops,M,Black,2,499.00,0,998.00,Card,Female,Young Adult (20-30),Men,INV000054,15:11:00,P06-M-BLACK
S000110,2026-08-01,Saturday,Graphic Tee,Tops,L,Red,1,499.00,0,499.00,Card,Female,Young Adult (20-30),Men,INV000055,11:58:00,P06-L-RED
S000111,2026-08-01,Saturday,Cotton Kurti,Ethnic Wear,L,Mustard,2,999.00,0,1998.00,Card,Female,Young Adult (20-30),Women,INV000055,11:58:00,P07-L-MUSTARD
S000112,2026-08-01,Saturday,Palazzo Kurta Set,Ethnic Wear,L,Maroon,1,1399.00,0,1399.00,Card,Female,Adult (31-45),Women,INV000056,12:51:00,P14-L-MAROON
S000113,2026-08-01,Saturday,Polo T-Shirt,Tops,L,Grey,1,699.00,0,699.00,Card,Female,Adult (31-45),Men,INV000056,12:51:00,P02-L-GREY
S000114,2026-08-01,Saturday,Cap,Accessories,OneSize,Navy,1,299.00,0,299.00,Card,Female,Adult (31-45),Accessories,INV000056,12:51:00,P29-ONESIZE-NAVY
S000115,2026-08-01,Saturday,Graphic Tee,Tops,S,Black,1,499.00,0,499.00,UPI,Male,Teen (13-19),Men,INV000057,20:14:00,P06-S-BLACK
S000116,2026-08-01,Saturday,Basic Crew T-Shirt,Tops,M,Black,1,399.00,0,399.00,UPI,Male,Teen (13-19),Men,INV000057,20:14:00,P01-M-BLACK
S000117,2026-08-01,Saturday,Formal Shirt,Tops,S,Grey,1,999.00,0,999.00,Cash,Male,Senior (46+),Men,INV000058,20:07:00,P05-S-GREY
S000118,2026-08-01,Saturday,Hair Accessories Set,Accessories,OneSize,Pink,1,199.00,0,199.00,Cash,Male,Senior (46+),Accessories,INV000058,20:07:00,P28-ONESIZE-PINK
S000119,2026-08-01,Saturday,Printed Top,Tops,XS,White,1,699.00,0,699.00,UPI,Male,Teen (13-19),Women,INV000059,20:27:00,P12-XS-WHITE
S000120,2026-08-01,Saturday,Basic Crew T-Shirt,Tops,XL,Navy,1,399.00,0,399.00,UPI,Male,Teen (13-19),Men,INV000059,20:27:00,P01-XL-NAVY
S000121,2026-08-01,Saturday,Flip Flops,Footwear,9,Grey,1,399.00,0,399.00,UPI,Male,Teen (13-19),Men,INV000059,20:27:00,P23-9-GREY
S000122,2026-08-01,Saturday,Straight Pants,Bottoms,M,Black,2,799.00,0,1598.00,Card,Male,Teen (13-19),Women,INV000060,12:02:00,P09-M-BLACK
S000123,2026-08-01,Saturday,Graphic Tee,Tops,L,White,1,499.00,0,499.00,Cash,Male,Adult (31-45),Men,INV000061,20:59:00,P06-L-WHITE
S000124,2026-08-01,Saturday,Women Flats,Footwear,4,Black,1,799.00,0,799.00,Cash,Male,Adult (31-45),Women,INV000061,20:59:00,P32-4-BLACK
S000125,2026-08-01,Saturday,Cotton Kurti,Ethnic Wear,S,Mustard,1,999.00,0,999.00,Cash,Male,Adult (31-45),Women,INV000061,20:59:00,P07-S-MUSTARD
S000126,2026-08-01,Saturday,Basic Crew T-Shirt,Tops,M,Navy,1,399.00,0,399.00,UPI,Male,Young Adult (20-30),Men,INV000062,17:32:00,P01-M-NAVY
S000127,2026-08-01,Saturday,Denim Jeggings,Bottoms,M,Black,1,999.00,0,999.00,UPI,Male,Young Adult (20-30),Women,INV000062,17:32:00,P10-M-BLACK
S000128,2026-08-01,Saturday,Sneakers,Footwear,8,Grey,1,1499.00,0,1499.00,UPI,Male,Young Adult (20-30),Men,INV000062,17:32:00,P20-8-GREY
S000129,2026-08-01,Saturday,Polo T-Shirt,Tops,M,Maroon,1,699.00,0,699.00,UPI,Female,Teen (13-19),Men,INV000063,18:42:00,P02-M-MAROON
S000130,2026-08-01,Saturday,Sandals,Footwear,5,Gold,1,999.00,0,999.00,UPI,Female,Senior (46+),Women,INV000064,20:08:00,P21-5-GOLD
S000131,2026-08-01,Saturday,Printed Top,Tops,S,Blue,1,699.00,0,699.00,UPI,Female,Senior (46+),Women,INV000064,20:08:00,P12-S-BLUE
S000132,2026-08-01,Saturday,Sneakers,Footwear,9,Grey,1,1499.00,0,1499.00,UPI,Female,Senior (46+),Men,INV000064,20:08:00,P20-9-GREY
S000133,2026-08-01,Saturday,Sneakers,Footwear,9,Black,1,1499.00,0,1499.00,Card,Female,Adult (31-45),Men,INV000065,20:56:00,P20-9-BLACK
S000134,2026-08-01,Saturday,Basic Crew T-Shirt,Tops,M,Black,1,399.00,0,399.00,Card,Female,Adult (31-45),Men,INV000065,20:56:00,P01-M-BLACK
S000135,2026-08-01,Saturday,Sandals,Footwear,8,Black,1,999.00,0,999.00,UPI,Female,Adult (31-45),Women,INV000066,11:01:00,P21-8-BLACK
S000136,2026-08-01,Saturday,Floral Kurti,Ethnic Wear,L,Green,1,1199.00,0,1199.00,UPI,Female,Young Adult (20-30),Women,INV000067,16:57:00,P08-L-GREEN
S000137,2026-08-01,Saturday,Kids Joggers,Bottoms,6-7Y,Grey,1,699.00,0,699.00,UPI,Female,Young Adult (20-30),Kids,INV000067,16:57:00,P19-67Y-GREY
S000138,2026-08-01,Saturday,Crop Top,Tops,M,White,2,599.00,0,1198.00,Cash,Female,Adult (31-45),Women,INV000068,16:14:00,P11-M-WHITE
S000139,2026-08-01,Saturday,Printed Top,Tops,M,White,1,699.00,0,699.00,Cash,Female,Adult (31-45),Women,INV000068,16:14:00,P12-M-WHITE
S000140,2026-08-01,Saturday,Basic Crew T-Shirt,Tops,M,Olive,1,399.00,0,399.00,Cash,Female,Adult (31-45),Men,INV000068,16:14:00,P01-M-OLIVE
S000141,2026-08-01,Saturday,Formal Shirt,Tops,M,White,1,999.00,0,999.00,UPI,Male,Young Adult (20-30),Men,INV000069,12:11:00,P05-M-WHITE
S000142,2026-08-01,Saturday,Polo T-Shirt,Tops,XL,Grey,2,699.00,0,1398.00,UPI,Male,Young Adult (20-30),Men,INV000069,12:11:00,P02-XL-GREY
S000143,2026-08-01,Saturday,Graphic Tee,Tops,S,Black,1,499.00,0,499.00,Card,Male,Adult (31-45),Men,INV000070,10:59:00,P06-S-BLACK
S000144,2026-08-01,Saturday,Cotton Kurti,Ethnic Wear,L,Mustard,1,999.00,0,999.00,Card,Male,Adult (31-45),Women,INV000070,10:59:00,P07-L-MUSTARD
S000145,2026-08-01,Saturday,Sneakers,Footwear,9,White,1,1499.00,0,1499.00,Card,Male,Adult (31-45),Men,INV000070,10:59:00,P20-9-WHITE
S000146,2026-08-01,Saturday,Printed Top,Tops,M,White,1,699.00,0,699.00,Card,Male,Adult (31-45),Women,INV000070,10:59:00,P12-M-WHITE
S000147,2026-08-01,Saturday,Flip Flops,Footwear,7,Navy,1,399.00,0,399.00,Card,Female,Senior (46+),Men,INV000071,20:37:00,P23-7-NAVY
S000148,2026-08-01,Saturday,Sneakers,Footwear,9,White,1,1499.00,0,1499.00,Card,Female,Senior (46+),Men,INV000071,20:37:00,P20-9-WHITE
S000149,2026-08-01,Saturday,Floral Kurti,Ethnic Wear,XS,Green,1,1199.00,0,1199.00,UPI,Male,Young Adult (20-30),Women,INV000072,16:43:00,P08-XS-GREEN
S000150,2026-08-01,Saturday,Cotton Kurti,Ethnic Wear,M,Maroon,1,999.00,0,999.00,UPI,Male,Young Adult (20-30),Women,INV000072,16:43:00,P07-M-MAROON
S000151,2026-08-01,Saturday,Palazzo Kurta Set,Ethnic Wear,S,Maroon,1,1399.00,0,1399.00,UPI,Male,Young Adult (20-30),Women,INV000072,16:43:00,P14-S-MAROON
S000152,2026-08-01,Saturday,Kids Denim Shorts,Bottoms,4-5Y,Blue,1,599.00,0,599.00,UPI,Female,Adult (31-45),Kids,INV000073,14:54:00,P16-45Y-BLUE
S000153,2026-08-01,Saturday,Ethnic Dupatta,Accessories,OneSize,Mustard,1,599.00,0,599.00,UPI,Female,Adult (31-45),Women,INV000073,14:54:00,P31-ONESIZE-MUSTARD
S000154,2026-08-01,Saturday,Graphic Tee,Tops,L,Red,1,499.00,0,499.00,UPI,Female,Adult (31-45),Men,INV000073,14:54:00,P06-L-RED
S000155,2026-08-01,Saturday,Crop Top,Tops,S,Lavender,1,599.00,0,599.00,Card,Male,Young Adult (20-30),Women,INV000074,15:26:00,P11-S-LAVENDER
